company,city,latitude,longitude,service1,service2,service3,service4,employees,industry,brands
"Inspec, Inc. "," Canton, MI",42.32916,-83.48782,Service Company, Distributor,,,  10-49,"ISO/IEC 17025 accredited provider of sales, service, upgrades and retrofits of new, used and refurbished metrology equipment including CMMs, optical comparators, hardness testers and more. Metrology solutions include calibration, routine and preventative maintenance, repairs and machine moves as well as 24/7 emergency services. Inspection services include laser scanning, reverse engineering, programming, contract inspection, part sorting and CAD services. Providers of complete gage, electronics, instrumentation and precision hand tool services.","InspecGage, Micro-Vu, Nikon, Polyworks, Renishaw, Tesa"
ScienceSoft USA Corporation ," Mckinney, TX",33.16547,-96.59469,Service Company, Custom Manufacturer,,,500-999,"Custom manufacturer of image analysis software for machine vision systems. Provides solutions to detect assembly defects and complies with regulations. Applications include object recognition, object identification, barcode and labeling verification, recognition of item location, 3D scanning, modeling and mapping. Industries served are automotive, machinery, semiconductors, electronics, displays and LEDs, pharmaceutical, metals and food.",
Digitronik Labs ," Rochester, NY",43.15678,-77.60479,Service Company, Turnkey Systems Integrator,,,  10-49,"Designer and integrator of machine vision software. Various capabilities include data collection, reporting, analysis, recipe generation, PLC to PC communication, order processing and electrical design. Serves the automotive, oil and gas, industrial, life sciences, glass and ceramics, food and beverage and packaging industries.",
"Masters Precision, Inc. "," Wilmington, IL",41.28398,-88.12306,Distributor,,,,  1-9,"Distributor of CMM and portable arm retrofit software. Capabilities vary depending upon model and include walk-in quick-measuring, one-click CAD-measuring, collision-free CAD-teaching, virtual simulation, real-time verification, advanced path planning and datum alignment. Suitable for manual and CNC CMMs, portable arms, vision systems, video machines, profile projectors and OEM Systems.",Renishaw
ISRA VISION*,"Duluth, GA",33.97682,-84.14824,Manufacturer, Turnkey Systems Integrator,,,500-999,"Manufacturer of standard and custom machine vision systems. Available as 2D and 3D type robot vision systems. Robot vision systems such as inline robot vision systems, single camera unit robot vision systems, form matching robot vision systems, photogrammetry robot vision systems, stereo sensor systems, stereo systems, visual servo systems and adapted un-calibrated robot automation systems are available. Machine vision systems are designed for all-type of automation and robotic applications.",
"Dartronics, Inc. "," Perth Amboy, NJ",40.52097,-74.27409,Distributor,,,,  10-49,"Distributor of processing and manufacturing machine vision software. Features include intuitive user interface, link connectivity, image processing tools, and multi-language. Suitable for use in traceability, inspection, and quality control applications.",Microscan
B & D Technologies*,"Macon, GA",32.80946,-83.61684,Distributor, Service Company,,,200-499,"Distributor of software including machine vision software. Software such as custom PC software, SQC/SPC system software, automate data collection software, SCADA software, HMI software, industrial process control software & inventory management software are also available. Capabilities include system designing, PLC engineering, system start up & commissioning, operator & maintenance training & project management.",Banner Engineering
Edmund Optics ," Barrington, NJ",39.86574,-75.05376,Manufacturer, Distributor,,,500-999,"ISO 9001:2008 certified worldwide manufacturer & distributor of machine vision software for automated inspection. Machine vision software has both configuration interface & inspection interface. Machine vision software feature power image processing & analysis functions, control digital I/O hardware, PLCs & serial devices. Machine vision software use with image acquisition cards to acquire images from PCI image acquisition boards & IEEE-1394 industrial cameras. Machine vision software can be operated on Windows® 2000/NT/XP/Me/9x operating systems.",National Instruments
7D Surgical ," Toronto, ON",43.658194,-79.384558,Manufacturer,,,,,Manufacturer of machine-vision image guided surgery (MvIGS) equipment for spine and cranial surgery. Equipment does not use radiation. Alternative to intra-operative CT or fluoroscopy. Instruments are also available.,
ecoATM ," San Diego, CA",32.72398,-117.17075,Manufacturer,,,,  10-49,"eCycling stations provide a trade-in product thatelectronically and/or visually inspect virtually any consumer electronic device, connects cosumers in real-time with a broad worldwide secondary market to ensure best pricing, & pays consumers immediately in cash and/or store credit, and& automatically administers trade-in / trade-up promotions for retailers & manufacturers.",
